id	type	language	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	basisOfRecord	occurrenceID	recordedBy	individualCount	occurrenceStatus	preparations	disposition	eventID	eventDate	year	month	day	habitat	locationID	continent	country	countryCode	stateProvince	county	locality	minimumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	identifiedBy	scientificNameID	scientificName	kingdom	phylum	class	order	family	genus	taxonRank	scientificNameAuthorship
UNIMAGDALENA:ACC001	Evento	es	891.780.111-8	RNC:207	ANLA:1293:2013	Universidad del Magdalena (UniMagdalena)	CBUMAG	Universidad del Magdalena	HumanObservation	UNIMAGDALENA:ACC001	Rincón Díaz Natalia	1	Present	Colecta Temporal: Muestra botánica (fragmento)	En colección	PUNTAVENADO:2021:02:01	2021-02-01	2021	02	01	Arrecife coralino	CO:47001	SA	Colombia	CO	Magdalena	Santa Marta	Punta Venado	109	4	10	11.27	-74.2047	WGS84	Rincón Díaz Natalia	urn:lsid:marinespecies.org:taxname:144016	Lithophyllum	Plantae	Rhodophyta	Florideophyceae	Corallinales	Lithophyllaceae	Lithophyllum	Género	Philippi, 1837
UNIMAGDALENA:ACC002	Evento	es	891.780.111-8	RNC:207	ANLA:1293:2013	Universidad del Magdalena (UniMagdalena)	CBUMAG	Universidad del Magdalena	HumanObservation	UNIMAGDALENA:ACC002	Rincón Díaz Natalia	1	Present	Colecta Temporal: Muestra botánica (fragmento)	En colección	PUNTAVENADO:2021:02:01	2021-02-01	2021	02	01	Arrecife coralino	CO:47001	SA	Colombia	CO	Magdalena	Santa Marta	Punta Venado	109	4	10	11.27	-74.2047	WGS84	Rincón Díaz Natalia	urn:lsid:marinespecies.org:taxname:144016	Lithophyllum	Plantae	Rhodophyta	Florideophyceae	Corallinales	Lithophyllaceae	Lithophyllum	Género	Philippi, 1837
UNIMAGDALENA:ACC003	Evento	es	891.780.111-8	RNC:207	ANLA:1293:2013	Universidad del Magdalena (UniMagdalena)	CBUMAG	Universidad del Magdalena	HumanObservation	UNIMAGDALENA:ACC003	Rincón Díaz Natalia	1	Present	Colecta Temporal: Muestra botánica (fragmento)	En colección	PUNTAVENADO:2021:02:01	2021-02-01	2021	02	01	Arrecife coralino	CO:47001	SA	Colombia	CO	Magdalena	Santa Marta	Punta Venado	109	4	10	11.27	-74.2047	WGS84	Rincón Díaz Natalia	urn:lsid:marinespecies.org:taxname:144016	Lithophyllum	Plantae	Rhodophyta	Florideophyceae	Corallinales	Lithophyllaceae	Lithophyllum	Género	Philippi, 1837
UNIMAGDALENA:ACC004	Evento	es	891.780.111-8	RNC:207	ANLA:1293:2013	Universidad del Magdalena (UniMagdalena)	CBUMAG	Universidad del Magdalena	HumanObservation	UNIMAGDALENA:ACC004	Rincón Díaz Natalia	1	Present	Colecta Temporal: Muestra botánica (fragmento)	En colección	PUNTAVENADO:2021:02:01	2021-02-01	2021	02	01	Arrecife coralino	CO:47001	SA	Colombia	CO	Magdalena	Santa Marta	Punta Venado	109	4	10	11.27	-74.2047	WGS84	Rincón Díaz Natalia	urn:lsid:marinespecies.org:taxname:144016	Lithophyllum	Plantae	Rhodophyta	Florideophyceae	Corallinales	Lithophyllaceae	Lithophyllum	Género	Philippi, 1837
UNIMAGDALENA:ACC005	Evento	es	891.780.111-8	RNC:207	ANLA:1293:2013	Universidad del Magdalena (UniMagdalena)	CBUMAG	Universidad del Magdalena	HumanObservation	UNIMAGDALENA:ACC005	Rincón Díaz Natalia	1	Present	Colecta Temporal: Muestra botánica (fragmento)	En colección	PUNTAVENADO:2021:02:01	2021-02-01	2021	02	01	Arrecife coralino	CO:47001	SA	Colombia	CO	Magdalena	Santa Marta	Punta Venado	109	4	10	11.27	-74.2047	WGS84	Rincón Díaz Natalia	urn:lsid:marinespecies.org:taxname:144016	Lithophyllum	Plantae	Rhodophyta	Florideophyceae	Corallinales	Lithophyllaceae	Lithophyllum	Género	Philippi, 1837
UNIMAGDALENA:ACC006	Evento	es	891.780.111-8	RNC:207	ANLA:1293:2013	Universidad del Magdalena (UniMagdalena)	CBUMAG	Universidad del Magdalena	HumanObservation	UNIMAGDALENA:ACC006	Rincón Díaz Natalia	1	Present	Colecta Temporal: Muestra botánica (fragmento)	En colección	PUNTAVENADO:2021:02:01	2021-02-01	2021	02	01	Arrecife coralino	CO:47001	SA	Colombia	CO	Magdalena	Santa Marta	Punta Venado	109	4	10	11.27	-74.2047	WGS84	Rincón Díaz Natalia	urn:lsid:marinespecies.org:taxname:370087	Porolithon	Plantae	Rhodophyta	Florideophyceae	Corallinales	Porolithaceae	Porolithon	Género	Foslie, 1909
UNIMAGDALENA:ACC007	Evento	es	891.780.111-8	RNC:207	ANLA:1293:2013	Universidad del Magdalena (UniMagdalena)	CBUMAG	Universidad del Magdalena	HumanObservation	UNIMAGDALENA:ACC007	Rincón Díaz Natalia	1	Present	Colecta Temporal: Muestra botánica (fragmento)	En colección	PUNTAVENADO:2021:02:01	2021-02-01	2021	02	01	Arrecife coralino	CO:47001	SA	Colombia	CO	Magdalena	Santa Marta	Punta Venado	109	4	10	11.27	-74.2047	WGS84	Rincón Díaz Natalia	urn:lsid:marinespecies.org:taxname:370087	Porolithon	Plantae	Rhodophyta	Florideophyceae	Corallinales	Porolithaceae	Porolithon	Género	Foslie, 1909
UNIMAGDALENA:ACC008	Evento	es	891.780.111-8	RNC:207	ANLA:1293:2013	Universidad del Magdalena (UniMagdalena)	CBUMAG	Universidad del Magdalena	HumanObservation	UNIMAGDALENA:ACC008	Rincón Díaz Natalia	1	Present	Colecta Temporal: Muestra botánica (fragmento)	En colección	PUNTAVENADO:2021:02:01	2021-02-01	2021	02	01	Arrecife coralino	CO:47001	SA	Colombia	CO	Magdalena	Santa Marta	Punta Venado	109	4	10	11.27	-74.2047	WGS84	Rincón Díaz Natalia	urn:lsid:marinespecies.org:taxname:370087	Porolithon	Plantae	Rhodophyta	Florideophyceae	Corallinales	Porolithaceae	Porolithon	Género	Foslie, 1909
UNIMAGDALENA:ACC009	Evento	es	891.780.111-8	RNC:207	ANLA:1293:2013	Universidad del Magdalena (UniMagdalena)	CBUMAG	Universidad del Magdalena	HumanObservation	UNIMAGDALENA:ACC009	Rincón Díaz Natalia	1	Present	Colecta Temporal: Muestra botánica (fragmento)	En colección	PUNTAVENADO:2021:02:01	2021-02-01	2021	02	01	Arrecife coralino	CO:47001	SA	Colombia	CO	Magdalena	Santa Marta	Punta Venado	109	4	10	11.27	-74.2047	WGS84	Rincón Díaz Natalia	urn:lsid:marinespecies.org:taxname:370087	Porolithon	Plantae	Rhodophyta	Florideophyceae	Corallinales	Porolithaceae	Porolithon	Género	Foslie, 1909
UNIMAGDALENA:ACC010	Evento	es	891.780.111-8	RNC:207	ANLA:1293:2013	Universidad del Magdalena (UniMagdalena)	CBUMAG	Universidad del Magdalena	HumanObservation	UNIMAGDALENA:ACC010	Rincón Díaz Natalia	1	Present	Colecta Temporal: Muestra botánica (fragmento)	En colección	PUNTAVENADO:2021:02:01	2021-02-01	2021	02	01	Arrecife coralino	CO:47001	SA	Colombia	CO	Magdalena	Santa Marta	Punta Venado	109	4	10	11.27	-74.2047	WGS84	Rincón Díaz Natalia	urn:lsid:marinespecies.org:taxname:370087	Porolithon	Plantae	Rhodophyta	Florideophyceae	Corallinales	Porolithaceae	Porolithon	Género	Foslie, 1909
