NAME;GROUP_COMMON_NAME;GROUP_SCIENTIFIC_NAME
Acanthaceae;Flowering plants ;Angiosperms
Achariaceae;Flowering plants ;Angiosperms
Achatocarpaceae;Flowering plants ;Angiosperms
Acoraceae;Flowering plants ;Angiosperms
Actinidiaceae;Flowering plants ;Angiosperms
Adoxaceae;Flowering plants ;Angiosperms
Aextoxicaceae;Flowering plants ;Angiosperms
Aizoaceae;Flowering plants ;Angiosperms
Akaniaceae;Flowering plants ;Angiosperms
Alismataceae;Flowering plants ;Angiosperms
Alseuosmiaceae;Flowering plants ;Angiosperms
Alstroemeriaceae;Flowering plants ;Angiosperms
Altingiaceae;Flowering plants ;Angiosperms
Amaranthaceae;Flowering plants ;Angiosperms
Amaryllidaceae;Flowering plants ;Angiosperms
Amborellaceae;Flowering plants ;Angiosperms
Anacampserotaceae;Flowering plants ;Angiosperms
Anacardiaceae;Flowering plants ;Angiosperms
Anarthriaceae;Flowering plants ;Angiosperms
Ancistrocladaceae;Flowering plants ;Angiosperms
Anisophylleaceae;Flowering plants ;Angiosperms
Annonaceae;Flowering plants ;Angiosperms
Aphanopetalaceae;Flowering plants ;Angiosperms
Aphloiaceae;Flowering plants ;Angiosperms
Apiaceae;Flowering plants ;Angiosperms
Apocynaceae;Flowering plants ;Angiosperms
Apodanthaceae;Flowering plants ;Angiosperms
Aponogetonaceae;Flowering plants ;Angiosperms
Aquifoliaceae;Flowering plants ;Angiosperms
Araceae;Flowering plants ;Angiosperms
Araliaceae;Flowering plants ;Angiosperms
Arecaceae;Flowering plants ;Angiosperms
Argophyllaceae;Flowering plants ;Angiosperms
Aristolochiaceae;Flowering plants ;Angiosperms
Asparagaceae;Flowering plants ;Angiosperms
Asteliaceae;Flowering plants ;Angiosperms
Asteropeiaceae;Flowering plants ;Angiosperms
Atherospermataceae;Flowering plants ;Angiosperms
Austrobaileyaceae;Flowering plants ;Angiosperms
Balanopaceae;Flowering plants ;Angiosperms
Balanophoraceae;Flowering plants ;Angiosperms
Balsaminaceae;Flowering plants ;Angiosperms
Barbeuiaceae;Flowering plants ;Angiosperms
Barbeyaceae;Flowering plants ;Angiosperms
Basellaceae;Flowering plants ;Angiosperms
Bataceae;Flowering plants ;Angiosperms
Begoniaceae;Flowering plants ;Angiosperms
Berberidaceae;Flowering plants ;Angiosperms
Berberidopsidaceae;Flowering plants ;Angiosperms
Betulaceae;Flowering plants ;Angiosperms
Biebersteiniaceae;Flowering plants ;Angiosperms
Bignoniaceae;Flowering plants ;Angiosperms
Bixaceae;Flowering plants ;Angiosperms
Blandfordiaceae;Flowering plants ;Angiosperms
Bonnetiaceae;Flowering plants ;Angiosperms
Boraginaceae;Flowering plants ;Angiosperms
Boryaceae;Flowering plants ;Angiosperms
Brassicaceae;Flowering plants ;Angiosperms
Bromeliaceae;Flowering plants ;Angiosperms
Brunelliaceae;Flowering plants ;Angiosperms
Bruniaceae;Flowering plants ;Angiosperms
Burmanniaceae;Flowering plants ;Angiosperms
Burseraceae;Flowering plants ;Angiosperms
Butomaceae;Flowering plants ;Angiosperms
Buxaceae;Flowering plants ;Angiosperms
Byblidaceae;Flowering plants ;Angiosperms
Cabombaceae;Flowering plants ;Angiosperms
Cactaceae;Flowering plants ;Angiosperms
Calceolariaceae;Flowering plants ;Angiosperms
Calophyllaceae;Flowering plants ;Angiosperms
Calycanthaceae;Flowering plants ;Angiosperms
Calyceraceae;Flowering plants ;Angiosperms
Campanulaceae;Flowering plants ;Angiosperms
Campynemataceae;Flowering plants ;Angiosperms
Canellaceae;Flowering plants ;Angiosperms
Cannabaceae;Flowering plants ;Angiosperms
Cannaceae;Flowering plants ;Angiosperms
Capparaceae;Flowering plants ;Angiosperms
Caprifoliaceae;Flowering plants ;Angiosperms
Cardiopteridaceae;Flowering plants ;Angiosperms
Caricaceae;Flowering plants ;Angiosperms
Carlemanniaceae;Flowering plants ;Angiosperms
Caryocaraceae;Flowering plants ;Angiosperms
Caryophyllaceae;Flowering plants ;Angiosperms
Casuarinaceae;Flowering plants ;Angiosperms
Celastraceae;Flowering plants ;Angiosperms
Centrolepidaceae;Flowering plants ;Angiosperms
Centroplacaceae;Flowering plants ;Angiosperms
Cephalotaceae;Flowering plants ;Angiosperms
Ceratophyllaceae;Flowering plants ;Angiosperms
Cercidiphyllaceae;Flowering plants ;Angiosperms
Chloranthaceae;Flowering plants ;Angiosperms
Chrysobalanaceae;Flowering plants ;Angiosperms
Circaeasteraceae;Flowering plants ;Angiosperms
Cistaceae;Flowering plants ;Angiosperms
Cleomaceae;Flowering plants ;Angiosperms
Clethraceae;Flowering plants ;Angiosperms
Clusiaceae;Flowering plants ;Angiosperms
Colchicaceae;Flowering plants ;Angiosperms
Columelliaceae;Flowering plants ;Angiosperms
Combretaceae;Flowering plants ;Angiosperms
Commelinaceae;Flowering plants ;Angiosperms
Compositae;Flowering plants ;Angiosperms
Connaraceae;Flowering plants ;Angiosperms
Convolvulaceae;Flowering plants ;Angiosperms
Coriariaceae;Flowering plants ;Angiosperms
Cornaceae;Flowering plants ;Angiosperms
Corsiaceae;Flowering plants ;Angiosperms
Corynocarpaceae;Flowering plants ;Angiosperms
Costaceae;Flowering plants ;Angiosperms
Crassulaceae;Flowering plants ;Angiosperms
Crossosomataceae;Flowering plants ;Angiosperms
Ctenolophonaceae;Flowering plants ;Angiosperms
Cucurbitaceae;Flowering plants ;Angiosperms
Cunoniaceae;Flowering plants ;Angiosperms
Curtisiaceae;Flowering plants ;Angiosperms
Cyclanthaceae;Flowering plants ;Angiosperms
Cymodoceaceae;Flowering plants ;Angiosperms
Cynomoriaceae;Flowering plants ;Angiosperms
Cyperaceae;Flowering plants ;Angiosperms
Cyrillaceae;Flowering plants ;Angiosperms
Cytinaceae;Flowering plants ;Angiosperms
Daphniphyllaceae;Flowering plants ;Angiosperms
Dasypogonaceae;Flowering plants ;Angiosperms
Datiscaceae;Flowering plants ;Angiosperms
Degeneriaceae;Flowering plants ;Angiosperms
Diapensiaceae;Flowering plants ;Angiosperms
Dichapetalaceae;Flowering plants ;Angiosperms
Didiereaceae;Flowering plants ;Angiosperms
Dilleniaceae;Flowering plants ;Angiosperms
Dioncophyllaceae;Flowering plants ;Angiosperms
Dioscoreaceae;Flowering plants ;Angiosperms
Dipentodontaceae;Flowering plants ;Angiosperms
Dipterocarpaceae;Flowering plants ;Angiosperms
Dirachmaceae;Flowering plants ;Angiosperms
Doryanthaceae;Flowering plants ;Angiosperms
Droseraceae;Flowering plants ;Angiosperms
Drosophyllaceae;Flowering plants ;Angiosperms
Ebenaceae;Flowering plants ;Angiosperms
Ecdeiocoleaceae;Flowering plants ;Angiosperms
Elaeagnaceae;Flowering plants ;Angiosperms
Elaeocarpaceae;Flowering plants ;Angiosperms
Elatinaceae;Flowering plants ;Angiosperms
Emblingiaceae;Flowering plants ;Angiosperms
Ericaceae;Flowering plants ;Angiosperms
Eriocaulaceae;Flowering plants ;Angiosperms
Erythroxylaceae;Flowering plants ;Angiosperms
Escalloniaceae;Flowering plants ;Angiosperms
Eucommiaceae;Flowering plants ;Angiosperms
Euphorbiaceae;Flowering plants ;Angiosperms
Euphroniaceae;Flowering plants ;Angiosperms
Eupomatiaceae;Flowering plants ;Angiosperms
Eupteleaceae;Flowering plants ;Angiosperms
Fagaceae;Flowering plants ;Angiosperms
Flacourtiaceae;Flowering plants ;Angiosperms
Flagellariaceae;Flowering plants ;Angiosperms
Fouquieriaceae;Flowering plants ;Angiosperms
Frankeniaceae;Flowering plants ;Angiosperms
Garryaceae;Flowering plants ;Angiosperms
Geissolomataceae;Flowering plants ;Angiosperms
Gelsemiaceae;Flowering plants ;Angiosperms
Gentianaceae;Flowering plants ;Angiosperms
Geraniaceae;Flowering plants ;Angiosperms
Gerrardinaceae;Flowering plants ;Angiosperms
Gesneriaceae;Flowering plants ;Angiosperms
Gisekiaceae;Flowering plants ;Angiosperms
Gomortegaceae;Flowering plants ;Angiosperms
Goodeniaceae;Flowering plants ;Angiosperms
Goupiaceae;Flowering plants ;Angiosperms
Grossulariaceae;Flowering plants ;Angiosperms
Grubbiaceae;Flowering plants ;Angiosperms
Guamatelaceae;Flowering plants ;Angiosperms
Gunneraceae;Flowering plants ;Angiosperms
Gyrostemonaceae;Flowering plants ;Angiosperms
Haemodoraceae;Flowering plants ;Angiosperms
Halophytaceae;Flowering plants ;Angiosperms
Haloragaceae;Flowering plants ;Angiosperms
Hamamelidaceae;Flowering plants ;Angiosperms
Hanguanaceae;Flowering plants ;Angiosperms
Haptanthaceae;Flowering plants ;Angiosperms
Heliconiaceae;Flowering plants ;Angiosperms
Helwingiaceae;Flowering plants ;Angiosperms
Hernandiaceae;Flowering plants ;Angiosperms
Himantandraceae;Flowering plants ;Angiosperms
Huaceae;Flowering plants ;Angiosperms
Humiriaceae;Flowering plants ;Angiosperms
Hydatellaceae;Flowering plants ;Angiosperms
Hydnoraceae;Flowering plants ;Angiosperms
Hydrangeaceae;Flowering plants ;Angiosperms
Hydrocharitaceae;Flowering plants ;Angiosperms
